intca,ID,value,type
INTCA_RS17145,Ga0242637_113247,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS17145,Ga0242637_113247,superpathway of L-threonine biosynthesis,pathway
INTCA_RS17145,Ga0242637_113247,L-aspartate biosynthesis,pathway
INTCA_RS17145,Ga0242637_113247,L-aspartate degradation I,pathway
INTCA_RS17145,Ga0242637_113247,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS17145,Ga0242637_113247,L-phenylalanine biosynthesis I,pathway
INTCA_RS17140,Ga0242637_113246,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS17140,Ga0242637_113246,superpathway of L-threonine biosynthesis,pathway
INTCA_RS17140,Ga0242637_113246,L-aspartate biosynthesis,pathway
INTCA_RS17140,Ga0242637_113246,L-aspartate degradation I,pathway
INTCA_RS17140,Ga0242637_113246,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS17140,Ga0242637_113246,L-phenylalanine biosynthesis I,pathway
INTCA_RS17135,Ga0242637_113245,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS17135,Ga0242637_113245,superpathway of L-threonine biosynthesis,pathway
INTCA_RS17135,Ga0242637_113245,L-aspartate biosynthesis,pathway
INTCA_RS17135,Ga0242637_113245,L-aspartate degradation I,pathway
INTCA_RS17135,Ga0242637_113245,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS17135,Ga0242637_113245,L-phenylalanine biosynthesis I,pathway
INTCA_RS06735,Ga0242637_111142,tRNA processing,pathway
INTCA_RS06715,Ga0242637_111138,tRNA processing,pathway
INTCA_RS06660,Ga0242637_111128,acrylonitrile degradation I,pathway
INTCA_RS06660,Ga0242637_111128,L-arginine degradation X (arginine monooxygenase pathway),pathway
INTCA_RS06655,Ga0242637_111127,acrylonitrile degradation I,pathway
INTCA_RS06655,Ga0242637_111127,L-arginine degradation X (arginine monooxygenase pathway),pathway
INTCA_RS06600,Ga0242637_111116,adenosine nucleotides degradation II,pathway
INTCA_RS06600,Ga0242637_111116,inosine 5'-phosphate degradation,pathway
INTCA_RS06600,Ga0242637_111116,purine nucleotides degradation II (aerobic),pathway
INTCA_RS06600,Ga0242637_111116,guanosine nucleotides degradation III,pathway
INTCA_RS06600,Ga0242637_111116,NAD salvage pathway III (to nicotinamide riboside),pathway
INTCA_RS06600,Ga0242637_111116,UTP and CTP dephosphorylation I,pathway
INTCA_RS17060,Ga0242637_113229,acyl-CoA hydrolysis,pathway
INTCA_RS17060,Ga0242637_113229,oleate &beta;-oxidation,pathway
INTCA_RS17055,Ga0242637_113228,acyl-CoA hydrolysis,pathway
INTCA_RS17055,Ga0242637_113228,oleate &beta;-oxidation,pathway
INTCA_RS01370,Ga0242637_1164,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS01370,Ga0242637_1164,fatty acid &beta;-oxidation I,pathway
INTCA_RS06390,Ga0242637_111072,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS06390,Ga0242637_111072,fatty acid &beta;-oxidation I,pathway
INTCA_RS06385,Ga0242637_111070,L-cysteine biosynthesis I,pathway
INTCA_RS06385,Ga0242637_111070,L-methionine biosynthesis III,pathway
INTCA_RS06385,Ga0242637_111070,L-homocysteine biosynthesis,pathway
INTCA_RS12235,Ga0242637_112270,2-oxobutanoate degradation I,pathway
INTCA_RS12235,Ga0242637_112270,propanoyl CoA degradation I,pathway
INTCA_RS06295,Ga0242637_111052,inosine-5'-phosphate biosynthesis I,pathway
INTCA_RS06295,Ga0242637_111052,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS06295,Ga0242637_111052,inosine-5'-phosphate biosynthesis II,pathway
INTCA_RS06295,Ga0242637_111052,,pathway
INTCA_RS06290,Ga0242637_111051,inosine-5'-phosphate biosynthesis I,pathway
INTCA_RS06290,Ga0242637_111051,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS06290,Ga0242637_111051,inosine-5'-phosphate biosynthesis II,pathway
INTCA_RS06290,Ga0242637_111051,,pathway
INTCA_RS06285,Ga0242637_111050,inosine-5'-phosphate biosynthesis I,pathway
INTCA_RS06285,Ga0242637_111050,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS06285,Ga0242637_111050,inosine-5'-phosphate biosynthesis II,pathway
INTCA_RS06285,Ga0242637_111050,,pathway
INTCA_RS06280,Ga0242637_111049,inosine-5'-phosphate biosynthesis I,pathway
INTCA_RS06280,Ga0242637_111049,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS06280,Ga0242637_111049,inosine-5'-phosphate biosynthesis II,pathway
INTCA_RS06280,Ga0242637_111049,,pathway
INTCA_RS06275,Ga0242637_111048,inosine-5'-phosphate biosynthesis I,pathway
INTCA_RS06275,Ga0242637_111048,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS06275,Ga0242637_111048,inosine-5'-phosphate biosynthesis II,pathway
INTCA_RS06275,Ga0242637_111048,,pathway
INTCA_RS08595,Ga0242637_111520,aerobic respiration I (cytochrome c),pathway
INTCA_RS08595,Ga0242637_111520,,pathway
INTCA_RS08590,Ga0242637_111519,aerobic respiration I (cytochrome c),pathway
INTCA_RS08590,Ga0242637_111519,,pathway
INTCA_RS00975,Ga0242637_113702,reactive oxygen species degradation,pathway
INTCA_RS00975,Ga0242637_113702,superoxide radicals degradation,pathway
INTCA_RS06265,Ga0242637_111046,biotin-carboxyl carrier protein assembly,pathway
INTCA_RS06260,Ga0242637_111045,biotin-carboxyl carrier protein assembly,pathway
INTCA_RS01315,Ga0242637_1153,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS01315,Ga0242637_1153,fatty acid &beta;-oxidation I,pathway
INTCA_RS01310,Ga0242637_1152,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS01310,Ga0242637_1152,fatty acid &beta;-oxidation I,pathway
INTCA_RS01305,Ga0242637_1151,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS01305,Ga0242637_1151,fatty acid &beta;-oxidation I,pathway
INTCA_RS11485,Ga0242637_112115,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS11485,Ga0242637_112115,CDP-diacylglycerol biosynthesis III,pathway
INTCA_RS11485,Ga0242637_112115,CDP-diacylglycerol biosynthesis I,pathway
INTCA_RS11485,Ga0242637_112115,,pathway
INTCA_RS11480,Ga0242637_112114,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS11480,Ga0242637_112114,CDP-diacylglycerol biosynthesis III,pathway
INTCA_RS11480,Ga0242637_112114,CDP-diacylglycerol biosynthesis I,pathway
INTCA_RS11480,Ga0242637_112114,,pathway
INTCA_RS06215,Ga0242637_111036,fatty acid &beta;-oxidation I,pathway
INTCA_RS06215,Ga0242637_111036,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS06210,Ga0242637_111035,fatty acid &beta;-oxidation I,pathway
INTCA_RS06210,Ga0242637_111035,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS06205,Ga0242637_111034,fatty acid &beta;-oxidation I,pathway
INTCA_RS06205,Ga0242637_111034,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS06200,Ga0242637_111033,thiosulfate disproportionation IV (rhodanese),pathway
INTCA_RS06195,Ga0242637_111032,thiosulfate disproportionation IV (rhodanese),pathway
INTCA_RS06190,Ga0242637_111031,thiosulfate disproportionation IV (rhodanese),pathway
INTCA_RS16160,Ga0242637_113047,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS16160,Ga0242637_113047,fatty acid &beta;-oxidation I,pathway
INTCA_RS16155,Ga0242637_113046,L-lysine fermentation to acetate and butanoate,pathway
INTCA_RS16155,Ga0242637_113046,fatty acid &beta;-oxidation I,pathway
INTCA_RS06160,Ga0242637_111024,inosine 5'-phosphate degradation,pathway
INTCA_RS06160,Ga0242637_111024,xanthine and xanthosine salvage,pathway
INTCA_RS06160,Ga0242637_111024,guanine and guanosine salvage,pathway
INTCA_RS06160,Ga0242637_111024,guanosine nucleotides degradation III,pathway
INTCA_RS06160,Ga0242637_111024,purine nucleotides degradation II (aerobic),pathway
INTCA_RS06160,Ga0242637_111024,adenosine nucleotides degradation II,pathway
INTCA_RS06160,Ga0242637_111024,adenine and adenosine salvage III,pathway
INTCA_RS06160,Ga0242637_111024,purine ribonucleosides degradation,pathway
INTCA_RS06160,Ga0242637_111024,adenine and adenosine salvage I,pathway
INTCA_RS06160,Ga0242637_111024,superpathway of purine deoxyribonucleosides degradation,pathway
INTCA_RS06160,Ga0242637_111024,purine deoxyribonucleosides degradation I,pathway
INTCA_RS06155,Ga0242637_111023,inosine 5'-phosphate degradation,pathway
INTCA_RS06155,Ga0242637_111023,xanthine and xanthosine salvage,pathway
INTCA_RS06155,Ga0242637_111023,guanine and guanosine salvage,pathway
INTCA_RS06155,Ga0242637_111023,guanosine nucleotides degradation III,pathway
INTCA_RS06155,Ga0242637_111023,purine nucleotides degradation II (aerobic),pathway
INTCA_RS06155,Ga0242637_111023,adenosine nucleotides degradation II,pathway
INTCA_RS06155,Ga0242637_111023,adenine and adenosine salvage III,pathway
INTCA_RS06155,Ga0242637_111023,purine ribonucleosides degradation,pathway
INTCA_RS06155,Ga0242637_111023,adenine and adenosine salvage I,pathway
INTCA_RS06155,Ga0242637_111023,superpathway of purine deoxyribonucleosides degradation,pathway
INTCA_RS06155,Ga0242637_111023,purine deoxyribonucleosides degradation I,pathway
INTCA_RS06125,Ga0242637_111016,superpathway of purine deoxyribonucleosides degradation,pathway
INTCA_RS06125,Ga0242637_111016,purine deoxyribonucleosides degradation I,pathway
INTCA_RS06125,Ga0242637_111016,purine nucleotides degradation II (aerobic),pathway
INTCA_RS06125,Ga0242637_111016,adenine and adenosine salvage III,pathway
INTCA_RS06125,Ga0242637_111016,purine ribonucleosides degradation,pathway
INTCA_RS06125,Ga0242637_111016,adenosine nucleotides degradation II,pathway
INTCA_RS06125,Ga0242637_111016,,pathway
INTCA_RS06120,Ga0242637_111015,superpathway of purine deoxyribonucleosides degradation,pathway
INTCA_RS06120,Ga0242637_111015,purine deoxyribonucleosides degradation I,pathway
INTCA_RS06120,Ga0242637_111015,purine nucleotides degradation II (aerobic),pathway
INTCA_RS06120,Ga0242637_111015,adenine and adenosine salvage III,pathway
INTCA_RS06120,Ga0242637_111015,purine ribonucleosides degradation,pathway
INTCA_RS06120,Ga0242637_111015,adenosine nucleotides degradation II,pathway
INTCA_RS06120,Ga0242637_111015,,pathway
INTCA_RS06035,Ga0242637_11997,TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),pathway
INTCA_RS06035,Ga0242637_11997,succinate to cytochrome <i>bd</i> oxidase electron transfer,pathway
INTCA_RS06035,Ga0242637_11997,succinate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS06035,Ga0242637_11997,aerobic respiration I (cytochrome c),pathway
INTCA_RS06035,Ga0242637_11997,mixed acid fermentation,pathway
INTCA_RS06035,Ga0242637_11997,glycerol-3-phosphate to fumarate electron transfer,pathway
INTCA_RS06025,Ga0242637_11995,TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),pathway
INTCA_RS06025,Ga0242637_11995,succinate to cytochrome <i>bd</i> oxidase electron transfer,pathway
INTCA_RS06025,Ga0242637_11995,succinate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS06025,Ga0242637_11995,aerobic respiration I (cytochrome c),pathway
INTCA_RS06025,Ga0242637_11995,mixed acid fermentation,pathway
INTCA_RS06025,Ga0242637_11995,glycerol-3-phosphate to fumarate electron transfer,pathway
INTCA_RS01250,Ga0242637_1140,L-histidine biosynthesis,pathway
INTCA_RS01245,Ga0242637_1139,glycolysis I (from glucose 6-phosphate),pathway
INTCA_RS01245,Ga0242637_1139,glycolysis III (from glucose),pathway
INTCA_RS01245,Ga0242637_1139,,pathway
INTCA_RS01240,Ga0242637_1138,glycolysis I (from glucose 6-phosphate),pathway
INTCA_RS01240,Ga0242637_1138,glycolysis III (from glucose),pathway
INTCA_RS01240,Ga0242637_1138,,pathway
INTCA_RS09300,Ga0242637_111661,CMP phosphorylation,pathway
INTCA_RS09300,Ga0242637_111661,superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS09300,Ga0242637_111661,superpathway of pyrimidine nucleobases salvage,pathway
INTCA_RS09300,Ga0242637_111661,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS09300,Ga0242637_111661,UTP and CTP <i>de novo</i> biosynthesis,pathway
INTCA_RS09300,Ga0242637_111661,superpathway of pyrimidine deoxyribonucleoside salvage,pathway
INTCA_RS09300,Ga0242637_111661,pyrimidine deoxyribonucleotide phosphorylation,pathway
INTCA_RS09300,Ga0242637_111661,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS09300,Ga0242637_111661,CDP-diacylglycerol biosynthesis I,pathway
INTCA_RS09300,Ga0242637_111661,CDP-diacylglycerol biosynthesis III,pathway
INTCA_RS09295,Ga0242637_111660,CMP phosphorylation,pathway
INTCA_RS09295,Ga0242637_111660,superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS09295,Ga0242637_111660,superpathway of pyrimidine nucleobases salvage,pathway
INTCA_RS09295,Ga0242637_111660,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS09295,Ga0242637_111660,UTP and CTP <i>de novo</i> biosynthesis,pathway
INTCA_RS09295,Ga0242637_111660,superpathway of pyrimidine deoxyribonucleoside salvage,pathway
INTCA_RS09295,Ga0242637_111660,pyrimidine deoxyribonucleotide phosphorylation,pathway
INTCA_RS09295,Ga0242637_111660,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS09295,Ga0242637_111660,CDP-diacylglycerol biosynthesis I,pathway
INTCA_RS09295,Ga0242637_111660,CDP-diacylglycerol biosynthesis III,pathway
INTCA_RS05895,Ga0242637_11969,dTDP-L-rhamnose biosynthesis,pathway
INTCA_RS05890,Ga0242637_11968,dTDP-L-rhamnose biosynthesis,pathway
INTCA_RS05865,Ga0242637_11963,dTDP-L-rhamnose biosynthesis,pathway
INTCA_RS05865,Ga0242637_11963,,pathway
INTCA_RS05860,Ga0242637_11962,dTDP-L-rhamnose biosynthesis,pathway
INTCA_RS05860,Ga0242637_11962,,pathway
INTCA_RS05855,Ga0242637_11961,dTDP-L-rhamnose biosynthesis,pathway
INTCA_RS05855,Ga0242637_11961,,pathway
INTCA_RS05810,Ga0242637_11950,L-arginine degradation I (arginase pathway),pathway
INTCA_RS05810,Ga0242637_11950,L-proline degradation,pathway
INTCA_RS05810,Ga0242637_11950,proline to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS05805,Ga0242637_11949,L-arginine degradation I (arginase pathway),pathway
INTCA_RS05805,Ga0242637_11949,L-proline degradation,pathway
INTCA_RS05805,Ga0242637_11949,proline to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01130,Ga0242637_1115,phenylacetate degradation I (aerobic),pathway
INTCA_RS01115,Ga0242637_113730,succinate to cytochrome <i>bd</i> oxidase electron transfer,pathway
INTCA_RS01115,Ga0242637_113730,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS01115,Ga0242637_113730,glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01115,Ga0242637_113730,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS01115,Ga0242637_113730,proline to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01115,Ga0242637_113730,succinate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01115,Ga0242637_113730,,pathway
INTCA_RS01110,Ga0242637_113729,succinate to cytochrome <i>bd</i> oxidase electron transfer,pathway
INTCA_RS01110,Ga0242637_113729,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS01110,Ga0242637_113729,glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01110,Ga0242637_113729,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS01110,Ga0242637_113729,proline to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01110,Ga0242637_113729,succinate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01110,Ga0242637_113729,,pathway
INTCA_RS01105,Ga0242637_113728,succinate to cytochrome <i>bd</i> oxidase electron transfer,pathway
INTCA_RS01105,Ga0242637_113728,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS01105,Ga0242637_113728,glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01105,Ga0242637_113728,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS01105,Ga0242637_113728,proline to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01105,Ga0242637_113728,succinate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01105,Ga0242637_113728,,pathway
INTCA_RS01100,Ga0242637_113727,succinate to cytochrome <i>bd</i> oxidase electron transfer,pathway
INTCA_RS01100,Ga0242637_113727,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS01100,Ga0242637_113727,glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01100,Ga0242637_113727,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS01100,Ga0242637_113727,proline to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01100,Ga0242637_113727,succinate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01100,Ga0242637_113727,,pathway
INTCA_RS01095,Ga0242637_113726,succinate to cytochrome <i>bd</i> oxidase electron transfer,pathway
INTCA_RS01095,Ga0242637_113726,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS01095,Ga0242637_113726,glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01095,Ga0242637_113726,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS01095,Ga0242637_113726,proline to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01095,Ga0242637_113726,succinate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01095,Ga0242637_113726,,pathway
INTCA_RS01090,Ga0242637_113725,succinate to cytochrome <i>bd</i> oxidase electron transfer,pathway
INTCA_RS01090,Ga0242637_113725,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS01090,Ga0242637_113725,glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01090,Ga0242637_113725,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS01090,Ga0242637_113725,proline to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01090,Ga0242637_113725,succinate to cytochrome <i>bo</i> oxidase electron transfer,pathway
INTCA_RS01090,Ga0242637_113725,,pathway
INTCA_RS01125,Ga0242637_113732,UMP biosynthesis II,pathway
INTCA_RS01125,Ga0242637_113732,,pathway
INTCA_RS01120,Ga0242637_113731,UMP biosynthesis II,pathway
INTCA_RS01120,Ga0242637_113731,,pathway
INTCA_RS01085,Ga0242637_113724,D-galactose degradation I (Leloir pathway),pathway
INTCA_RS01085,Ga0242637_113724,D-galactose degradation V (Leloir pathway),pathway
INTCA_RS01085,Ga0242637_113724,UDP-&alpha;-D-galactose biosynthesis,pathway
INTCA_RS01060,Ga0242637_113719,inosine-5'-phosphate biosynthesis I,pathway
INTCA_RS01060,Ga0242637_113719,inosine-5'-phosphate biosynthesis II,pathway
INTCA_RS01060,Ga0242637_113719,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS01060,Ga0242637_113719,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS01060,Ga0242637_113719,adenosine ribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS00960,Ga0242637_113699,tRNA charging,pathway
INTCA_RS05595,Ga0242637_11925,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis,pathway
INTCA_RS05595,Ga0242637_11925,"formate assimilation into 5,10-methylenetetrahydrofolate",pathway
INTCA_RS05595,Ga0242637_11925,"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",pathway
INTCA_RS05595,Ga0242637_11925,formaldehyde oxidation VII (THF pathway),pathway
INTCA_RS05590,Ga0242637_11924,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis,pathway
INTCA_RS05590,Ga0242637_11924,"formate assimilation into 5,10-methylenetetrahydrofolate",pathway
INTCA_RS05590,Ga0242637_11924,"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",pathway
INTCA_RS05590,Ga0242637_11924,formaldehyde oxidation VII (THF pathway),pathway
INTCA_RS05585,Ga0242637_11923,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis,pathway
INTCA_RS05585,Ga0242637_11923,"formate assimilation into 5,10-methylenetetrahydrofolate",pathway
INTCA_RS05585,Ga0242637_11923,"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",pathway
INTCA_RS05585,Ga0242637_11923,formaldehyde oxidation VII (THF pathway),pathway
INTCA_RS00915,Ga0242637_113690,superpathway of glucose and xylose degradation,pathway
INTCA_RS00915,Ga0242637_113690,pentose phosphate pathway,pathway
INTCA_RS00915,Ga0242637_113690,pentose phosphate pathway (oxidative branch) I,pathway
INTCA_RS13205,Ga0242637_112472,L-lysine biosynthesis I,pathway
INTCA_RS13200,Ga0242637_112471,L-lysine biosynthesis I,pathway
INTCA_RS00870,Ga0242637_113681,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS00870,Ga0242637_113681,L-phenylalanine biosynthesis I,pathway
INTCA_RS00870,Ga0242637_113681,,pathway
INTCA_RS00865,Ga0242637_113680,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS00865,Ga0242637_113680,L-phenylalanine biosynthesis I,pathway
INTCA_RS00865,Ga0242637_113680,,pathway
INTCA_RS00805,Ga0242637_113667,glycolysis I (from glucose 6-phosphate),pathway
INTCA_RS00770,Ga0242637_113658,cyclopropane fatty acid (CFA) biosynthesis,pathway
INTCA_RS00765,Ga0242637_113657,cyclopropane fatty acid (CFA) biosynthesis,pathway
INTCA_RS00760,Ga0242637_113656,cyclopropane fatty acid (CFA) biosynthesis,pathway
INTCA_RS00755,Ga0242637_113655,cyclopropane fatty acid (CFA) biosynthesis,pathway
INTCA_RS00750,Ga0242637_113654,cyclopropane fatty acid (CFA) biosynthesis,pathway
INTCA_RS00745,Ga0242637_113653,cyclopropane fatty acid (CFA) biosynthesis,pathway
INTCA_RS00740,Ga0242637_113652,cyclopropane fatty acid (CFA) biosynthesis,pathway
INTCA_RS05235,Ga0242637_11890,fatty acid &beta;-oxidation I,pathway
INTCA_RS05235,Ga0242637_11890,long-chain fatty acid activation,pathway
INTCA_RS05235,Ga0242637_11890,palmitate biosynthesis II (bacteria and plants),pathway
INTCA_RS05235,Ga0242637_11890,stearate biosynthesis II (bacteria and plants),pathway
INTCA_RS05230,Ga0242637_11889,fatty acid &beta;-oxidation I,pathway
INTCA_RS05230,Ga0242637_11889,long-chain fatty acid activation,pathway
INTCA_RS05230,Ga0242637_11889,palmitate biosynthesis II (bacteria and plants),pathway
INTCA_RS05230,Ga0242637_11889,stearate biosynthesis II (bacteria and plants),pathway
INTCA_RS05225,Ga0242637_11888,fatty acid &beta;-oxidation I,pathway
INTCA_RS05225,Ga0242637_11888,long-chain fatty acid activation,pathway
INTCA_RS05225,Ga0242637_11888,palmitate biosynthesis II (bacteria and plants),pathway
INTCA_RS05225,Ga0242637_11888,stearate biosynthesis II (bacteria and plants),pathway
INTCA_RS05345,Ga0242637_11912,TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),pathway
INTCA_RS05340,Ga0242637_11911,TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),pathway
INTCA_RS00665,Ga0242637_113637,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,pathway
INTCA_RS00665,Ga0242637_113637,pyridoxal 5'-phosphate salvage I,pathway
INTCA_RS08345,Ga0242637_111467,glycolysis I (from glucose 6-phosphate),pathway
INTCA_RS08345,Ga0242637_111467,glycolysis III (from glucose),pathway
INTCA_RS08345,Ga0242637_111467,mixed acid fermentation,pathway
INTCA_RS08345,Ga0242637_111467,superpathway of glucose and xylose degradation,pathway
INTCA_RS00625,Ga0242637_113629,molybdenum cofactor biosynthesis,pathway
INTCA_RS00625,Ga0242637_113629,,pathway
INTCA_RS00620,Ga0242637_113628,molybdenum cofactor biosynthesis,pathway
INTCA_RS00620,Ga0242637_113628,,pathway
INTCA_RS05220,Ga0242637_11887,L-asparagine biosynthesis I,pathway
INTCA_RS05220,Ga0242637_11887,L-asparagine biosynthesis III (tRNA-dependent),pathway
INTCA_RS05220,Ga0242637_11887,glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation,pathway
INTCA_RS05220,Ga0242637_11887,L-glutamine degradation I,pathway
INTCA_RS05220,Ga0242637_11887,superpathway of L-asparagine biosynthesis,pathway
INTCA_RS05220,Ga0242637_11887,L-asparagine biosynthesis II,pathway
INTCA_RS05220,Ga0242637_11887,superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS05220,Ga0242637_11887,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS05220,Ga0242637_11887,guanosine ribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS05220,Ga0242637_11887,,pathway
INTCA_RS05215,Ga0242637_11886,L-asparagine biosynthesis I,pathway
INTCA_RS05215,Ga0242637_11886,L-asparagine biosynthesis III (tRNA-dependent),pathway
INTCA_RS05215,Ga0242637_11886,glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation,pathway
INTCA_RS05215,Ga0242637_11886,L-glutamine degradation I,pathway
INTCA_RS05215,Ga0242637_11886,superpathway of L-asparagine biosynthesis,pathway
INTCA_RS05215,Ga0242637_11886,L-asparagine biosynthesis II,pathway
INTCA_RS05215,Ga0242637_11886,superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS05215,Ga0242637_11886,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS05215,Ga0242637_11886,guanosine ribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS05215,Ga0242637_11886,,pathway
INTCA_RS05210,Ga0242637_11885,L-asparagine biosynthesis I,pathway
INTCA_RS05210,Ga0242637_11885,L-asparagine biosynthesis III (tRNA-dependent),pathway
INTCA_RS05210,Ga0242637_11885,glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation,pathway
INTCA_RS05210,Ga0242637_11885,L-glutamine degradation I,pathway
INTCA_RS05210,Ga0242637_11885,superpathway of L-asparagine biosynthesis,pathway
INTCA_RS05210,Ga0242637_11885,L-asparagine biosynthesis II,pathway
INTCA_RS05210,Ga0242637_11885,superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS05210,Ga0242637_11885,superpathway of purine nucleotides <i>de novo</i> biosynthesis I,pathway
INTCA_RS05210,Ga0242637_11885,guanosine ribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS05210,Ga0242637_11885,,pathway
INTCA_RS05205,Ga0242637_11884,L-asparagine biosynthesis I,pathway
