query,superpathway,pathway,subpathway,function,id,description,V2,V3
Ga0242637_111070,Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine Biosynthesis,O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),SS08135,O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),80.12,5.14E-183
Ga0242637_111072,Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation,Butyryl-CoA dehydrogenase (EC 1.3.99.2),SS16625,Butyryl-CoA dehydrogenase (EC 1.3.99.2),85.94,1.01E-173
Ga0242637_111072,Amino Acids and Derivatives,Branched-chain amino acids,Isoleucine degradation,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",SS06910,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",81.5,2.00E-174
Ga0242637_111074,Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5),SS20779,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5),84.7,1.76E-39
Ga0242637_111075,Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5),SS20779,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5),86.95,0.000316667
Ga0242637_111076,Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5),SS20778,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5),76.7,3.69E-99
Ga0242637_111079,Regulation and Cell signaling,unclassified,Cell envelope-associated LytR-CpsA-Psr transcriptional attenuators,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)",SS02785,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)",62.78333333,2.60E-75
Ga0242637_111082,Experimental Subsystems,unclassified,Experimental-FO,"Glycosyl transferase, group 1",SS18027,"Glycosyl transferase, group 1",53.36666667,2.90E-78
Ga0242637_111087,Membrane Transport,Protein translocation across cytoplasmic membrane,ESAT-6 proteins secretion system in Firmicutes,"FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA",SS05038,"FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA",53.55,2.88E-199
Ga0242637_111088,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,"Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily",SS15228,"Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily",69.3,6.01E-154
Ga0242637_111089,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,Flp pilus assembly protein TadB,SS15219,Flp pilus assembly protein TadB,58.34285714,0.000528571
Ga0242637_111090,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,Flp pilus assembly protein TadB,SS15219,Flp pilus assembly protein TadB,74.24285714,3.53E-36
Ga0242637_111091,Membrane Transport,"Protein secretion system, Type II",Widespread colonization island,"Type II/IV secretion system protein TadC, associated with Flp pilus assembly",SS15229,"Type II/IV secretion system protein TadC, associated with Flp pilus assembly",61.51428571,2.65E-67
Ga0242637_111097,unclassified,unclassified,tRNA modification Escherichia coli,Peptide chain release factor 2,SS19367,Peptide chain release factor 2,82.52,1.42E-154
Ga0242637_111098,Membrane Transport,"Protein secretion system, Type II",Predicted secretion system W clustering with cell division proteins,"Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)",SS16801,"Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)",71,1.67E-78
Ga0242637_111099,unclassified,unclassified,Yggs,Cell division protein FtsX,SS16794,Cell division protein FtsX,60.325,3.05E-62
Ga0242637_111101,Protein Metabolism,Protein biosynthesis,Translation termination factors bacterial,tmRNA-binding protein SmpB,SS22039,tmRNA-binding protein SmpB,76.08333333,3.60E-56
Ga0242637_111103,Experimental Subsystems,unclassified,"DNA replication, archaeal Isaac",ATP-dependent DNA ligase (EC 6.5.1.1),SS16189,ATP-dependent DNA ligase (EC 6.5.1.1),65.15714286,1.58E-43
Ga0242637_111107,Protein Metabolism,Selenoproteins,"Glycine reductase, sarcosine reductase and betaine reductase",Thioredoxin,SS21042,Thioredoxin,100,9.80E-65
Ga0242637_111111,RNA Metabolism,RNA processing and modification,"ATP-dependent RNA helicases, bacterial",Cold-shock DEAD-box protein A,SS01090,Cold-shock DEAD-box protein A,66.3,4.80E-146
Ga0242637_111113,Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Poly-gamma-glutamate biosynthesis,Glutamate racemase (EC 5.1.1.3),SS17941,Glutamate racemase (EC 5.1.1.3),77.85,5.00E-62
Ga0242637_111116,Experimental Subsystems,Pyrimidines,pyrimidine conversions v2,"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)",SS15908,"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)",63.88571429,1.72E-182
Ga0242637_111118,"Cofactors, Vitamins, Prosthetic Groups, Pigments",Quinone cofactors,Tocopherol Biosynthesis,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27),SS16075,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27),86.775,3.50E-190
Ga0242637_111123,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Salicylate and gentisate catabolism,Fumarylacetoacetase (EC 3.7.1.2),SS17822,Fumarylacetoacetase (EC 3.7.1.2),69.9,1.68E-140
Ga0242637_111125,"Cofactors, Vitamins, Prosthetic Groups, Pigments",Folate and pterines,Pterin metabolism 3,"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)",SS18135,"Homogentisate 1,2-dioxygenase (EC 1.13.11.5)",79.04285714,1.03E-182
Ga0242637_111126,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Homogentisate pathway of aromatic compound degradation,"Transcriptional regulator, IclR family",SS06517,"Transcriptional regulator, IclR family",55.2,1.70E-51
Ga0242637_111127,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,Nicotinamidase (EC 3.5.1.19),SS19087,Nicotinamidase (EC 3.5.1.19),74.3,7.64E-58
Ga0242637_111128,Stress Response,Oxidative stress,Redox-dependent regulation of nucleus processes,Nicotinate phosphoribosyltransferase (EC 2.4.2.11),SS19098,Nicotinate phosphoribosyltransferase (EC 2.4.2.11),79.8,2.50E-159
Ga0242637_111129,Protein Metabolism,Protein degradation,"Proteolysis in bacteria, ATP-dependent",ATP-dependent Clp protease adaptor protein ClpS,SS16180,ATP-dependent Clp protease adaptor protein ClpS,82.8,2.00E-35
Ga0242637_111131,"Virulence, Disease and Defense",Resistance to antibiotics and toxic compounds,Beta-lactamase,Metal-dependent hydrolases of the beta-lactamase superfamily III,SS01507,Metal-dependent hydrolases of the beta-lactamase superfamily III,67.375,2.30E-67
Ga0242637_111132,RNA Metabolism,RNA processing and modification,tRNA processing,Ribonuclease PH (EC 2.7.7.56),SS20426,Ribonuclease PH (EC 2.7.7.56),82.51666667,1.05E-94
Ga0242637_111133,Miscellaneous,Plant-Prokaryote DOE project,YggW,"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)",SS15449,"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)",68.45,6.27E-60
Ga0242637_111134,Clustering-based subsystems,unclassified,CBSS-316057.3.peg.880,COG2041: Sulfite oxidase and related enzymes,SS16683,COG2041: Sulfite oxidase and related enzymes,100,3.40E-294
Ga0242637_111136,unclassified,unclassified,YggSProC,"Putative translation initiation inhibitor, yjgF family",SS20231,"Putative translation initiation inhibitor, yjgF family",71.8,3.32E-34
Ga0242637_111136,unclassified,unclassified,RidA proteins,Endoribonuclease L-PSP,SS17256,Endoribonuclease L-PSP,66.7,4.00E-34
Ga0242637_111138,Sulfur Metabolism,unclassified,Thioredoxin-disulfide reductase,"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",SS21039,"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",75.84285714,1.03E-56
Ga0242637_111140,Protein Metabolism,Protein folding,GroEL GroES,Heat shock protein 60 family co-chaperone GroES,SS06225,Heat shock protein 60 family co-chaperone GroES,82.83333333,1.77E-31
Ga0242637_111144,RNA Metabolism,RNA processing and modification,"RNA processing and degradation, bacterial",3'-to-5' oligoribonuclease (orn),SS11702,3'-to-5' oligoribonuclease (orn),80.925,1.47E-81
Ga0242637_111149,Experimental Subsystems,unclassified,slr0575,Single-stranded DNA-binding protein,SS20632,Single-stranded DNA-binding protein,35,4.70E-13
Ga0242637_111150,unclassified,unclassified,YjeF AMarbaix bis,ABC transporter ATP-binding protein,SS16131,ABC transporter ATP-binding protein,88.68571429,3.52E-284
Ga0242637_111152,Experimental Subsystems,unclassified,ZZ gjo scratch,Aspartate aminotransferase (EC 2.6.1.1),SS16487,Aspartate aminotransferase (EC 2.6.1.1),73.7,1.05E-104
Ga0242637_111156,Miscellaneous,unclassified,Carbonate Biomineralization,"Transcriptional regulator, TetR family",SS21142,"Transcriptional regulator, TetR family",59.0625,1.02E-44
Ga0242637_111157,Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation,Butyryl-CoA dehydrogenase (EC 1.3.99.2),SS16625,Butyryl-CoA dehydrogenase (EC 1.3.99.2),75.1,8.80E-157
Ga0242637_111158,Cell Wall and Capsule,Cell wall of Mycobacteria,mycolic acid synthesis,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),SS16026,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),76.9,9.13E-80
Ga0242637_111160,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Glycogen debranching enzyme (EC 3.2.1.-),SS18013,Glycogen debranching enzyme (EC 3.2.1.-),75.12222222,0.00E+00
Ga0242637_111161,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Malto-oligosyltrehalose synthase (EC 5.4.99.15),SS18718,Malto-oligosyltrehalose synthase (EC 5.4.99.15),57.84285714,1.08E-211
Ga0242637_111162,Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis,Malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141),SS13929,Malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141),62.0125,1.43E-177
Ga0242637_111163,Miscellaneous,Plant-Prokaryote DOE project,YebC,Acyl-CoA thioesterase II (EC 3.1.2.-),SS15811,Acyl-CoA thioesterase II (EC 3.1.2.-),70.66666667,3.67E-90
Ga0242637_111164,unclassified,unclassified,Que-2 2,ATP-dependent DNA helicase RecQ,SS16186,ATP-dependent DNA helicase RecQ,79.16666667,4.00E-261
Ga0242637_111164,DNA Metabolism,DNA repair,"DNA repair, bacterial RecFOR pathway","ATP-dependent DNA helicase, RecQ family",SS04569,"ATP-dependent DNA helicase, RecQ family",69.1,7.20E-274
Ga0242637_111167,Carbohydrates,Sugar alcohols,Glycerol and Glycerol-3-phosphate Uptake and Utilization,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),SS18003,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),56.1,1.57E-56
Ga0242637_111168,Experimental Subsystems,unclassified,Sugar catabolome in Shewanella species,Alpha-glucosidase (EC 3.2.1.20),SS16384,Alpha-glucosidase (EC 3.2.1.20),74.075,7.00E-216
Ga0242637_111170,Stress Response,unclassified,Bacterial hemoglobins,Hemoglobin-like protein HbO,SS01284,Hemoglobin-like protein HbO,83.05,2.75E-44
Ga0242637_111171,Potassium metabolism,unclassified,Potassium homeostasis,Potassium efflux system KefA protein,SS09993,Potassium efflux system KefA protein,61.675,2.13E-62
Ga0242637_111172,Stress Response,Oxidative stress,Glutathione: Biosynthesis and gamma-glutamyl cycle,Membrane alanine aminopeptidase N (EC 3.4.11.2),SS00490,Membrane alanine aminopeptidase N (EC 3.4.11.2),71.75,3.58E-299
Ga0242637_111174,unclassified,unclassified,tsaC cluster,Ribose 5-phosphate isomerase B (EC 5.3.1.6),SS20430,Ribose 5-phosphate isomerase B (EC 5.3.1.6),71.81666667,1.95E-47
Ga0242637_111176,unclassified,unclassified,tRNA modification Escherichia coli,tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33),SS21988,tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33),52.02857143,5.64E-36
Ga0242637_111179,Carbohydrates,Central carbohydrate metabolism,Dehydrogenase complexes,Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-),SS16227,Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-),69.90909091,2.34E-98
Ga0242637_111180,Carbohydrates,Central carbohydrate metabolism,Dehydrogenase complexes,Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-),SS16228,Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-),74.94545455,1.18E-121
Ga0242637_111183,Clustering-based subsystems,unclassified,Bacterial Cell Division,Cell division trigger factor (EC 5.2.1.8),SS01200,Cell division trigger factor (EC 5.2.1.8),68.56666667,6.27E-139
Ga0242637_111185,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),SS16181,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),85.575,5.88E-86
Ga0242637_111186,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),SS16181,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),83.62222222,4.89E-88
Ga0242637_111189,Protein Metabolism,Protein degradation,"Proteolysis in bacteria, ATP-dependent",ATP-dependent Clp protease ATP-binding subunit ClpX,SS16179,ATP-dependent Clp protease ATP-binding subunit ClpX,85.68,1.66E-193
Ga0242637_111196,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Val",Valyl-tRNA synthetase (EC 6.1.1.9),SS14105,Valyl-tRNA synthetase (EC 6.1.1.9),74.41666667,0
Ga0242637_111197,Phosphorus Metabolism,unclassified,Phosphate metabolism,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),SS06008,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),71.4,3.67E-74
Ga0242637_111198,Clustering-based subsystems,unclassified,CBSS-335543.6.peg.1659,FIG017108: hypothetical protein,SS17519,FIG017108: hypothetical protein,61.75,8.50E-23
Ga0242637_111199,RNA Metabolism,RNA processing and modification,"RNA processing and degradation, bacterial",Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-),SS17012,Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-),79.6,1.55E-202
Ga0242637_111200,unclassified,unclassified,Ribospme LSU Symbiont,LSU ribosomal protein L21p,SS18534,LSU ribosomal protein L21p,79.725,1.20E-23
Ga0242637_111201,unclassified,unclassified,Ribospme LSU Symbiont,LSU ribosomal protein L27p,SS18535,LSU ribosomal protein L27p,89.75,2.94E-33
Ga0242637_111202,Protein Metabolism,Protein biosynthesis,Universal GTPases,COG0536: GTP-binding protein Obg,SS16670,COG0536: GTP-binding protein Obg,74.25714286,2.74E-181
Ga0242637_111206,Experimental Subsystems,unclassified,Transporters In Models,Na+/solute symporter,SS19068,Na+/solute symporter,64.6,5.90E-161
Ga0242637_111207,Experimental Subsystems,unclassified,Experimental-DCE degrader,protein of unknown function DUF485,SS21895,protein of unknown function DUF485,61.55,4.70E-24
Ga0242637_111208,Experimental Subsystems,unclassified,Transporters In Models,Na+/solute symporter,SS19068,Na+/solute symporter,99.8,9.80E-292
Ga0242637_111210,unclassified,unclassified,Yggs,Glutamate 5-kinase (EC 2.7.2.11),SS17931,Glutamate 5-kinase (EC 2.7.2.11),70.34,1.04E-112
Ga0242637_111210,unclassified,unclassified,Yggs,RNA-binding C-terminal domain PUA,SS20348,RNA-binding C-terminal domain PUA,63,1.31E-112
Ga0242637_111211,unclassified,unclassified,YgfZ-Fe-S clustering,Hydroxymethylpyrimidine phosphate synthase ThiC,SS18203,Hydroxymethylpyrimidine phosphate synthase ThiC,80.78571429,1.53E-252
Ga0242637_111212,unclassified,unclassified,Thiamin biosynthesis in plants,Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7),SS18202,Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7),52.6125,9.20E-40
Ga0242637_111213,unclassified,unclassified,Thiamin biosynthesis in plants,Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),SS21024,Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),48.36,1.85E-19
Ga0242637_111214,unclassified,unclassified,Thiamin biosynthesis LDP,Thiazole biosynthesis protein ThiG,SS21038,Thiazole biosynthesis protein ThiG,78.325,8.46E-86
Ga0242637_111215,unclassified,unclassified,Thiamin biosynthesis LDP,Sulfur carrier protein ThiS,SS20811,Sulfur carrier protein ThiS,56.225,1.04E-09
Ga0242637_111216,unclassified,unclassified,Thiamin biosynthesis LDP,Glycine oxidase ThiO (EC 1.4.3.19),SS13488,Glycine oxidase ThiO (EC 1.4.3.19),53.55714286,1.32E-63
Ga0242637_111217,unclassified,unclassified,Thiamin biosynthesis in plants,Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),SS21024,Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),61.27142857,2.78E-35
Ga0242637_111219,unclassified,unclassified,Yggs,Gamma-glutamyl phosphate reductase (EC 1.2.1.41),SS17864,Gamma-glutamyl phosphate reductase (EC 1.2.1.41),73.94285714,1.88E-138
Ga0242637_111220,unclassified,unclassified,Family 23 FUPA23 P-type ATPase,Generic methyltransferase,SS17881,Generic methyltransferase,35.3,7.20E-26
Ga0242637_111221,unclassified,unclassified,WhiB and WhiB-type regulatory proteins 2,"Glycosyl transferase, family 2",SS18026,"Glycosyl transferase, family 2",74.7,5.25E-102
Ga0242637_111223,unclassified,unclassified,PROSC YggS,Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18),SS19099,Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18),82.84,1.40E-83
Ga0242637_111224,RNA Metabolism,RNA processing and modification,tRNA modification Bacteria,Iojap protein,SS18424,Iojap protein,74.275,1.03E-37
Ga0242637_111225,Miscellaneous,unclassified,Phosphoglycerate mutase protein family,Phosphoglycerate mutase family,SS19685,Phosphoglycerate mutase family,41.8,1.59E-25
Ga0242637_111227,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),SS18642,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),44.2,1.83E-32
Ga0242637_111228,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,3-ketoacyl-CoA thiolase (EC 2.3.1.16),SS16014,3-ketoacyl-CoA thiolase (EC 2.3.1.16),69.46666667,1.84E-91
Ga0242637_111228,Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle,Acetyl-CoA acetyltransferase (EC 2.3.1.9),SS16245,Acetyl-CoA acetyltransferase (EC 2.3.1.9),69.46666667,1.84E-91
Ga0242637_111229,Membrane Transport,unclassified,ECF class transporters,ATPase component BioM of energizing module of biotin ECF transporter,SS16207,ATPase component BioM of energizing module of biotin ECF transporter,72.58,7.22E-74
Ga0242637_111230,Membrane Transport,unclassified,ECF class transporters,Transmembrane component BioN of energizing module of biotin ECF transporter,SS21176,Transmembrane component BioN of energizing module of biotin ECF transporter,52.5,8.10E-42
Ga0242637_111231,Membrane Transport,unclassified,ECF class transporters,Substrate-specific component BioY of biotin ECF transporter,SS20746,Substrate-specific component BioY of biotin ECF transporter,60.925,3.28E-36
Ga0242637_111237,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Leu",Leucyl-tRNA synthetase (EC 6.1.1.4),SS14056,Leucyl-tRNA synthetase (EC 6.1.1.4),71.76,0
Ga0242637_111238,Experimental Subsystems,unclassified,COG1272 Experimental,"Hypothetical protein DUF194, DegV family",SS02618,"Hypothetical protein DUF194, DegV family",60.52857143,9.99E-67
Ga0242637_111239,Experimental Subsystems,unclassified,ZZ gjo scratch,Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY,SS06012,Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY,51.5875,7.08E-21
Ga0242637_111240,Carbohydrates,One-carbon Metabolism,One-carbon metabolism by tetrahydropterines,Formyltetrahydrofolate deformylase (EC 3.5.1.10),SS17793,Formyltetrahydrofolate deformylase (EC 3.5.1.10),69.75,1.68E-86
Ga0242637_111241,DNA Metabolism,"DNA uptake, competence",Late competence,"Late competence protein ComEA, DNA receptor",SS18564,"Late competence protein ComEA, DNA receptor",51.8,1.90E-35
Ga0242637_111243,Sulfur Metabolism,Organic sulfur assimilation,Utilization of glutathione as a sulphur source,Gamma-glutamyltranspeptidase (EC 2.3.2.2),SS17868,Gamma-glutamyltranspeptidase (EC 2.3.2.2),64.05,2.93E-108
Ga0242637_111245,unclassified,unclassified,CBSS-227321.4.peg.3751,putative transcriptional regulator,SS21935,putative transcriptional regulator,67.7,1.20E-103
Ga0242637_111246,Stress Response,Oxidative stress,Redox-dependent regulation of nucleus processes,NAD-dependent protein deacetylase of SIR2 family,SS19021,NAD-dependent protein deacetylase of SIR2 family,81.2,1.25E-87
Ga0242637_111250,DNA Metabolism,DNA repair,"DNA repair, bacterial UmuCD system",SOS-response repressor and protease LexA (EC 3.4.21.88),SS20510,SOS-response repressor and protease LexA (EC 3.4.21.88),72.1375,3.13E-81
Ga0242637_111255,Nucleosides and Nucleotides,unclassified,Ribonucleotide reduction,Ribonucleotide reductase transcriptional regulator NrdR,SS11214,Ribonucleotide reductase transcriptional regulator NrdR,79.84,2.74E-61
Ga0242637_111256,"Phages, Prophages, Transposable elements, Plasmids",Phage family-specific subsystems,T7-like cyanophage core proteins,Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1),SS11211,Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1),82.08333333,0
Ga0242637_111259,Dormancy and Sporulation,unclassified,Persister Cells,HipA protein,SS09160,HipA protein,49.3,2.97E-65
Ga0242637_111261,Cell Wall and Capsule,Cell wall of Mycobacteria,mycolic acid synthesis,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),SS16026,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),82.45,1.50E-86
Ga0242637_111261,Clustering-based subsystems,"metabolism of linear and branched-chain alkanes, nitroalkanes and may be cyclic ketones, alkenoic acids",CBSS-164757.7.peg.5020,Short-chain dehydrogenase/reductase SDR,SS20596,Short-chain dehydrogenase/reductase SDR,65.3,1.00E-77
Ga0242637_111263,Clustering-based subsystems,unclassified,CBSS-235909.3.peg.1769,FIG098404: Hypothetical protein,SS17624,FIG098404: Hypothetical protein,49.975,5.25E-32
Ga0242637_111264,Clustering-based subsystems,unclassified,CBSS-235909.3.peg.1769,FIG087842: Hypothetical protein,SS17616,FIG087842: Hypothetical protein,37.4,2.71E-47
Ga0242637_111265,Clustering-based subsystems,unclassified,CBSS-235909.3.peg.1769,FIG100068: Hypothetical protein,SS17627,FIG100068: Hypothetical protein,43.53333333,6.00E-110
Ga0242637_111266,Clustering-based subsystems,unclassified,CBSS-235909.3.peg.1769,FIG124585: Hypothetical protein,SS17643,FIG124585: Hypothetical protein,33.04,8.80E-31
Ga0242637_111272,Clustering-based subsystems,Pyruvate kinase associated cluster,CBSS-288000.5.peg.1793,putative esterase,SS02393,putative esterase,97,5.60E-164
Ga0242637_111273,Cell Wall and Capsule,Cell wall of Mycobacteria,linker unit-arabinogalactan synthesis,UDP-glucose 4-epimerase (EC 5.1.3.2),SS21364,UDP-glucose 4-epimerase (EC 5.1.3.2),74.3,1.75E-100
Ga0242637_111274,Clustering-based subsystems,unclassified,CBSS-36873.1.peg.6699,Parvulin-like peptidyl-prolyl isomerase,SS19354,Parvulin-like peptidyl-prolyl isomerase,31.6,5.80E-10
Ga0242637_111275,Regulation and Cell signaling,unclassified,cAMP signaling in bacteria,Adenylate cyclase (EC 4.6.1.1),SS16311,Adenylate cyclase (EC 4.6.1.1),73.66666667,5.10E-21
Ga0242637_111279,unclassified,unclassified,CBSS-227321.4.peg.3751,putative transcriptional regulator,SS21935,putative transcriptional regulator,46.7,8.60E-115
Ga0242637_111281,RNA Metabolism,RNA processing and modification,tRNA processing,Ribonuclease BN (EC 3.1.-.-),SS20416,Ribonuclease BN (EC 3.1.-.-),67.3,5.70E-105
Ga0242637_111283,Stress Response,unclassified,Universal stress protein family,Universal stress protein family,SS14902,Universal stress protein family,61.43333333,8.67E-32
Ga0242637_111285,Stress Response,unclassified,Universal stress protein family,Universal stress protein family,SS14902,Universal stress protein family,52.2,1.82E-35
Ga0242637_111286,Miscellaneous,unclassified,ZZ gjo need homes,Transcription accessory protein (S1 RNA-binding domain),SS21100,Transcription accessory protein (S1 RNA-binding domain),84.7,0.000375
Ga0242637_111288,Regulation and Cell signaling,unclassified,Sex pheromones in Enterococcus faecalis and other Firmicutes,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",SS19179,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",64.1,2.48E-177
Ga0242637_111291,Membrane Transport,ABC transporters,ABC transporter oligopeptide (TC 3.A.1.5.1),Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1),SS00122,Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1),74.925,6.75E-104
Ga0242637_111292,Membrane Transport,ABC transporters,ABC transporter oligopeptide (TC 3.A.1.5.1),Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1),SS00123,Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1),77.85,1.61E-97
Ga0242637_111293,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",Aldehyde dehydrogenase (EC 1.2.1.3),SS16338,Aldehyde dehydrogenase (EC 1.2.1.3),72.33333333,5.33E-177
Ga0242637_111294,Cell Wall and Capsule,Cell wall of Mycobacteria,mycolic acid synthesis,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),SS16026,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),84.6,1.40E-110
Ga0242637_111295,Nucleosides and Nucleotides,Purines,Purine conversions,Guanine deaminase (EC 3.5.4.3),SS18037,Guanine deaminase (EC 3.5.4.3),60.7,1.86E-107
Ga0242637_111296,Nucleosides and Nucleotides,Purines,Purine Utilization,XdhC protein (assists in molybdopterin insertion into xanthine dehydrogenase),SS10521,XdhC protein (assists in molybdopterin insertion into xanthine dehydrogenase),70.24,1.48E-86
Ga0242637_111297,Clustering-based subsystems,Clustering-based subsystems,Putative diaminopropionate ammonia-lyase cluster,"Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)",SS21540,"Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)",75.04285714,0
Ga0242637_111298,Nucleosides and Nucleotides,Purines,Purine Utilization,"Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A (1.17.1.4)",SS10513,"Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A (1.17.1.4)",65.5,1.26E-148
Ga0242637_111305,unclassified,unclassified,Family 23 FUPA23 P-type ATPase,ADP-ribosylglycohydrolase,SS16167,ADP-ribosylglycohydrolase,57.7,4.40E-94
